Class,Width,Height,Aspect_Ratio,Megapixels
carpet,1024,1024,1.0,1.048576
carpet,1024,1024,1.0,1.048576
carpet,1024,1024,1.0,1.048576
carpet,1024,1024,1.0,1.048576
carpet,1024,1024,1.0,1.048576
carpet,1024,1024,1.0,1.048576
carpet,1024,1024,1.0,1.048576
carpet,1024,1024,1.0,1.048576
carpet,1024,1024,1.0,1.048576
carpet,1024,1024,1.0,1.048576
carpet,1024,1024,1.0,1.048576
carpet,1024,1024,1.0,1.048576
carpet,1024,1024,1.0,1.048576
carpet,1024,1024,1.0,1.048576
carpet,1024,1024,1.0,1.048576
carpet,1024,1024,1.0,1.048576
carpet,1024,1024,1.0,1.048576
zipper,1024,1024,1.0,1.048576
zipper,1024,1024,1.0,1.048576
zipper,1024,1024,1.0,1.048576
zipper,1024,1024,1.0,1.048576
zipper,1024,1024,1.0,1.048576
zipper,1024,1024,1.0,1.048576
zipper,1024,1024,1.0,1.048576
zipper,1024,1024,1.0,1.048576
zipper,1024,1024,1.0,1.048576
zipper,1024,1024,1.0,1.048576
zipper,1024,1024,1.0,1.048576
zipper,1024,1024,1.0,1.048576
zipper,1024,1024,1.0,1.048576
zipper,1024,1024,1.0,1.048576
zipper,1024,1024,1.0,1.048576
zipper,1024,1024,1.0,1.048576
zipper,1024,1024,1.0,1.048576
zipper,1024,1024,1.0,1.048576
zipper,1024,1024,1.0,1.048576
zipper,1024,1024,1.0,1.048576
zipper,1024,1024,1.0,1.048576
zipper,1024,1024,1.0,1.048576
zipper,1024,1024,1.0,1.048576
zipper,1024,1024,1.0,1.048576
zipper,1024,1024,1.0,1.048576
zipper,1024,1024,1.0,1.048576
zipper,1024,1024,1.0,1.048576
zipper,1024,1024,1.0,1.048576
zipper,1024,1024,1.0,1.048576
zipper,1024,1024,1.0,1.048576
zipper,1024,1024,1.0,1.048576
zipper,1024,1024,1.0,1.048576
zipper,1024,1024,1.0,1.048576
zipper,1024,1024,1.0,1.048576
zipper,1024,1024,1.0,1.048576
zipper,1024,1024,1.0,1.048576
zipper,1024,1024,1.0,1.048576
zipper,1024,1024,1.0,1.048576
zipper,1024,1024,1.0,1.048576
zipper,1024,1024,1.0,1.048576
zipper,1024,1024,1.0,1.048576
zipper,1024,1024,1.0,1.048576
zipper,1024,1024,1.0,1.048576
zipper,1024,1024,1.0,1.048576
zipper,1024,1024,1.0,1.048576
zipper,1024,1024,1.0,1.048576
zipper,1024,1024,1.0,1.048576
zipper,1024,1024,1.0,1.048576
zipper,1024,1024,1.0,1.048576
zipper,1024,1024,1.0,1.048576
